id_registro;fecha_compra;id_proveedor;nombre_proveedor;nit_proveedor;telefono_proveedor;email_proveedor;ciudad_proveedor;pais_proveedor;id_producto;nombre_producto;descripcion_producto;categoria_producto;subcategoria_producto;unidad_medida;precio_unitario;cantidad_comprada;valor_total_compra;id_bodega;nombre_bodega;ciudad_bodega;direccion_bodega;tipo_movimiento;cantidad_movimiento;stock_actual;responsable_bodega;observaciones
1;2023-07-12;5;Tecno Partes Ltda.;700345678-5;6014567890;tecnopartes@empresa.com;Bogotá;CO;107;interruptor simple;Interruptor eléctrico sencillo 110V;Eléctrico;Controles;und;;184;;2;Bodega Norte Barranquilla;BARRANQUILLA;Calle 80 # 43-20;Entrada;170;17;M. Pérez;
2;25-08-2023;4;Sum. Industriales Norte;901234567-4;3057891234;suministros.norte@empresa.co;barranquilla;colombia;104;válvula de paso 1/2 pulgada;;plomería;Accesorios;UND;15000;66;990000;2;BDG NORTE BQ;Barranquilla;Calle 80 # 43-20;ingreso;39;487;MARIA PEREZ;Compra ordinaria
3;2023-10-04;1;Ferreteria Torres S.A.S.;900123456-1;3101234567;ferreteria.torres@gmail.com;Bogota;Colombia;107;INTERRUPTOR SENCILLO;Interruptor 110V sencillo;eléctricos;INTERRUPTORES;Unidad;8500;136;1047899,749;2;Bodega Norte Barranquilla;B/quilla;CL 80 43-20;egreso;26;18;M. Pérez;
4;27 Apr 2024;2;Distribuidora Electronica Medellin;800987654-2;320 987 6543;dist_electronica@gmail.com;medellin;COLOMBIA;103;TUBO PVC 4 PULGADAS;TUBO PVC SANITARIO 4 PULG;Plásticos;tuberías;mts;8900;81;720900;3;Bodega Sur-Cali;CALI;Av. Americas #5-30;ingreso;42;124;A. Gómez;Pedido urgente
5;07-06-2024;6;Metales y aleaciones s.a;890654321-6;3168765432;;Bucaramanga, Sant.;Colombia;106;"Perfil de aluminio 1""x1""";Perfil aluminio cuadrado;Metales;Perfiles;mts;22000;37;814000;2;Bodega Norte Barranquilla;Barranquilla;Clle 80 #43-20;INGRESO;17;361;María Pérez;
6;2024-06-17;5;TECNOPARTES LTDA;700345678-5;601-456-7890;tecnopartes.ltda@gmail.com;BOGOTA D.C.;Colombia;108;Cemento gris 50kg;;construcción;cementos;BTO;27000;184;4968000;1;Bodega Cntrl Bogotá;BOGOTÁ;CRA 30 15-40;entrada;138;36;CARLOS RODRIGUEZ;N/A
7;2023-06-16;2;Distribuidora Electrónica Medellín;800987654-2;3209876543;electronicamedellin@hotmail.com;MEDELLIN;COLOMBIA;103;Tubo pvc 4 pulg.;TUBO PVC SANITARIO 4 PULG;PLASTICOS;Tuberías;mt;8900;147;1308300;3;Bodega Sur-Cali;Cali;AV LAS AMERICAS 5-30;Entrada;85;432;ANDRES GOMEZ;Compra ordinaria
8;07-18-2023;4;Sum. Industriales Norte;901234567-4;30-57-89-12-34;suministros.norte@empresa.co;BARRANQUILLA;Colombia;103;TUBO PVC 4 PULGADAS;;Plomería;TUBERIAS;mts;8900;132;1174800;4;BODEGA MEDELLIN;Medellin;Cra 50 # 45-67;SALIDA;129;353;L. Martínez;
9;2023-03-03;1;ferretería torres sas;900123456-1;310-123-4567;;Bogotá;Col;108;cemento 50 kilos;CEMENTO PORTLAND 50 KG;CONSTRUCCION;Aglomerantes;Bolsa;28000;72;2016000;2;Bodega Norte Barranquilla;Barranquilla;Calle 80 # 43-20;entrada;59;95;MARIA PEREZ;Reposición de stock
10;04/11/2024;4;Suministros Industriales del Norte;901234567-4;305 789 1234;sumnorte@gmail.com;B/quilla;colombia;108;cemento 50 kilos;Cemento 50kg;Materiales;cementos;bto;29000;133;3857000;3;BODEGA SUR CALI;Cali;AV LAS AMERICAS 5-30;egreso;61;492;Andrés Gómez;ninguna
