id_registro;fecha_compra;id_proveedor;nombre_proveedor;nit_proveedor;telefono_proveedor;email_proveedor;ciudad_proveedor;pais_proveedor;id_producto;nombre_producto;descripcion_producto;categoria_producto;subcategoria_producto;unidad_medida;precio_unitario;cantidad_comprada;valor_total_compra;id_bodega;nombre_bodega;ciudad_bodega;direccion_bodega;tipo_movimiento;cantidad_movimiento;stock_actual;responsable_bodega;observaciones;fecha_compra_raw;nombre_proveedor_raw;ciudad_proveedor_raw;pais_proveedor_raw;nombre_bodega_raw;ciudad_bodega_raw;tipo_movimiento_raw;unidad_medida_raw;telefono_proveedor_raw;fecha_ambigua
22;\N;2;Distribuidora Electrónica Medellín;800987654-2;3209876543;dist.electronica@outlook.com;Medellín;Colombia;106;"Perfil Al. 1""x1""";\N;Metales;PERFILES;ML;22000.0;70;1540000.0;4;Bodega Medellín;Medellín;Carrera 50 #45-67;Entrada;43;360;L. Martínez;COMPRA ORDINARIA;\N;Distribuidora Electrónica Medellín;Medellín, Ant.;COLOMBIA;BODEGA MEDELLIN;MEDELLIN;ENTRADA;ML;3209876543;False
33;\N;2;Distribuidora Electrónica Medellín;800987654-2;3209876543;dist_electronica@gmail.com;Medellín;Colombia;102;Cable UTP Cat6;Cable red Cat6;Electrónica;Cables;M;4550.0;67;304850.0;1;Bodega Central Bogotá;Bogotá;Cra 30 # 15-40;Salida;2;474;C. Rodríguez;Pedido urgente;\N;DIST. ELECTRONICA MEDELLIN;Medellín;COLOMBIA;Bodega Central Bogotá;Bogota;egreso;m;32-09-87-65-43;False
41;\N;5;Tecno Partes Ltda.;\N;\N;tecnopartes@empresa.com;Bogotá;Colombia;102;Cable utp categoría 6;CABLE RED CAT 6;Electrónica;Redes;M;4500.0;114;513000.0;4;Bodega Medellín;Medellín;CRA 50 45-67;Salida;75;432;Luisa Martínez;\N;\N;TECNOPARTES LTDA;Bogota;Colombia;Bodega MDE;Medellín;egreso;mt;\N;False
44;\N;5;Tecno Partes Ltda.;\N;\N;tecnopartes.ltda@gmail.com;Bogotá;Colombia;107;Interruptor sencillo;Interruptor 110V sencillo;eléctricos;interruptores;UND;8000.0;87;696000.0;3;Bdg Sur;Cali;Av. Las Américas # 5-30;Salida;55;492;A. Gómez;pedido urgente;\N;TECNOPARTES LTDA;BOGOTA D.C.;Colombia;BDG SUR;CALI;EGRESO;Unidad;\N;False
72;\N;2;Distribuidora Electrónica Medellín;800987654-2;3209876543;dist.electronica@outlook.com;Medellín;Colombia;103;"Tubo PVC 4""";Tubo de PVC sanitario diámetro 4 pulgadas;Plásticos;tuberías;M;9000.0;80;720000.0;3;Bodega Sur Cali;Cali;Av. Las Américas # 5-30;Entrada;65;197;Andrés Gómez;\N;\N;Dist Electrónica MDE;MEDELLIN;CO;Bodega Sur-Cali;Cali;entrada;mts;320 987 6543;False
74;\N;4;Suministros Industriales del Norte;901234567-4;3057891234;sumnorte@gmail.com;B/Quilla;Colombia;102;Cable UTP Cat6;\N;Electrónica;Redes;M;4550.0;70;318500.0;1;Bodega Central Bogotá;Bogotá;Carrera 30 #15-40;Entrada;35;255;Carlos Rodríguez;COMPRA ORDINARIA;\N;Suministros Industriales del Norte;B/quilla;colombia;Bodega Central Bogotá;Bogotá;INGRESO;MTS;305 789 1234;False
22;\N;2;Distribuidora Electrónica Medellín;800987654-2;3209876543;dist.electronica@outlook.com;Medellín;Colombia;106;"Perfil Al. 1""x1""";\N;Metales;PERFILES;ML;22000.0;70;1540000.0;4;Bodega Medellín;Medellín;Carrera 50 #45-67;Entrada;43;360;L. Martínez;COMPRA ORDINARIA;\N;Distribuidora Electrónica Medellín;Medellín, Ant.;COLOMBIA;BODEGA MEDELLIN;MEDELLIN;ENTRADA;ML;3209876543;False
22;\N;2;Distribuidora Electrónica Medellín;800987654-2;3209876543;dist.electronica@outlook.com;Medellín;Colombia;106;"Perfil Al. 1""x1""";\N;Metales;PERFILES;ML;22000.0;70;1540000.0;4;Bodega Medellín;Medellín;Carrera 50 #45-67;Entrada;43;360;L. Martínez;COMPRA ORDINARIA;\N;Distribuidora Electrónica Medellín;Medellín, Ant.;COLOMBIA;BODEGA MEDELLIN;MEDELLIN;ENTRADA;ML;3209876543;False
87;\N;\N;\N;\N;\N;\N;\N;Colombia;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;Colombia;\N;\N;\N;\N;\N;False
88;\N;\N;\N;\N;\N;\N;\N;Colombia;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;Colombia;\N;\N;\N;\N;\N;False
89;\N;\N;\N;\N;\N;\N;\N;Colombia;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;Colombia;\N;\N;\N;\N;\N;False
90;\N;\N;\N;\N;\N;\N;\N;Colombia;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;Colombia;\N;\N;\N;\N;\N;False
